CMDLINE python ball_fall.py
MEM 166.234375 1610118507.5611
MEM 166.285156 1610118507.6670
MEM 166.285156 1610118507.7729
MEM 166.285156 1610118507.8787
MEM 166.285156 1610118507.9844
MEM 166.285156 1610118508.0903
MEM 166.285156 1610118508.1961
MEM 166.285156 1610118508.3019
MEM 166.285156 1610118508.4077
MEM 166.285156 1610118508.5138
MEM 166.285156 1610118508.6201
MEM 166.285156 1610118508.7259
MEM 166.285156 1610118508.8307
MEM 166.285156 1610118508.9364
MEM 166.285156 1610118509.0406
MEM 166.285156 1610118509.1448
MEM 166.285156 1610118509.2494
MEM 166.285156 1610118509.3538
MEM 166.285156 1610118509.4580
MEM 166.285156 1610118509.5624
MEM 166.285156 1610118509.6666
MEM 166.285156 1610118509.7709
MEM 166.285156 1610118509.8751
MEM 166.285156 1610118509.9796
MEM 166.285156 1610118510.0839
MEM 166.285156 1610118510.1883
MEM 166.285156 1610118510.2927
MEM 166.285156 1610118510.3969
MEM 166.285156 1610118510.5011
MEM 166.285156 1610118510.6055
MEM 166.285156 1610118510.7097
MEM 166.285156 1610118510.8140
MEM 166.285156 1610118510.9181
MEM 166.285156 1610118511.0223
MEM 166.285156 1610118511.1265
MEM 166.285156 1610118511.2308
MEM 166.285156 1610118511.3351
MEM 166.285156 1610118511.4392
MEM 166.285156 1610118511.5440
MEM 166.285156 1610118511.6484
MEM 166.285156 1610118511.7527
MEM 166.285156 1610118511.8569
MEM 166.285156 1610118511.9612
MEM 166.285156 1610118512.0657
MEM 166.285156 1610118512.1702
MEM 166.285156 1610118512.2746
MEM 166.285156 1610118512.3798
MEM 166.285156 1610118512.4839
MEM 166.285156 1610118512.5883
MEM 166.285156 1610118512.6929
MEM 166.285156 1610118512.7974
MEM 166.285156 1610118512.9017
MEM 166.285156 1610118513.0060
MEM 166.285156 1610118513.1102
MEM 166.285156 1610118513.2145
MEM 166.285156 1610118513.3189
MEM 166.285156 1610118513.4235
MEM 166.285156 1610118513.5280
MEM 166.285156 1610118513.6324
MEM 166.285156 1610118513.7367
MEM 166.285156 1610118513.8410
MEM 166.285156 1610118513.9454
MEM 166.285156 1610118514.0498
MEM 166.285156 1610118514.1542
MEM 166.285156 1610118514.2589
MEM 166.285156 1610118514.3635
MEM 166.285156 1610118514.4679
MEM 166.285156 1610118514.5724
MEM 166.285156 1610118514.6772
MEM 166.285156 1610118514.7816
MEM 166.285156 1610118514.8859
MEM 166.285156 1610118514.9902
MEM 166.285156 1610118515.0945
MEM 166.285156 1610118515.1990
MEM 166.285156 1610118515.3033
MEM 166.285156 1610118515.4077
MEM 166.285156 1610118515.5120
MEM 166.285156 1610118515.6174
MEM 166.285156 1610118515.7220
MEM 166.285156 1610118515.8269
MEM 166.339844 1610118515.9311
MEM 166.339844 1610118516.0354
MEM 166.339844 1610118516.1395
MEM 166.339844 1610118516.2439
MEM 166.339844 1610118516.3481
MEM 166.339844 1610118516.4524
MEM 166.339844 1610118516.5577
MEM 166.339844 1610118516.6625
MEM 166.339844 1610118516.7669
MEM 166.339844 1610118516.8718
MEM 166.339844 1610118516.9763
MEM 166.339844 1610118517.0807
MEM 166.339844 1610118517.1849
MEM 166.339844 1610118517.2894
MEM 166.339844 1610118517.3943
MEM 166.339844 1610118517.4988
MEM 166.339844 1610118517.6031
MEM 166.339844 1610118517.7077
MEM 166.339844 1610118517.8125
MEM 166.339844 1610118517.9170
MEM 166.339844 1610118518.0213
MEM 166.339844 1610118518.1259
MEM 166.339844 1610118518.2302
MEM 166.339844 1610118518.3346
MEM 166.339844 1610118518.4387
MEM 166.339844 1610118518.5436
MEM 166.339844 1610118518.6478
MEM 166.339844 1610118518.7524
MEM 166.339844 1610118518.8566
MEM 166.339844 1610118518.9612
MEM 166.339844 1610118519.0656
MEM 166.339844 1610118519.1700
MEM 166.339844 1610118519.2746
MEM 166.339844 1610118519.3799
MEM 166.339844 1610118519.4840
MEM 166.339844 1610118519.5882
MEM 166.339844 1610118519.6930
MEM 166.339844 1610118519.7975
MEM 166.074219 1610118519.9021
